id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,56,47,40.71000700,19.94577900,8,6350,6205,1,14009,89
2,Dibër,341,339,41.59991200,20.26165100,2,2486,2098,0,12074,47
3,Durrës,1161,1138,41.33054100,19.46326500,22,10061,8681,1,29348,219
4,Elbasan,215,202,41.11456500,20.08415200,11,8463,8009,2,19728,239
5,Fier,2361,2343,40.72902000,19.56091000,17,11242,8649,1,20247,232
6,Gjirokastër,1122,1113,40.07869700,20.13633000,9,4639,3461,0,13734,56
7,Korçe,726,717,40.61812600,20.77752800,9,6261,5428,0,16977,107
8,Kukës,315,313,42.07545200,20.42317600,2,2796,2448,0,14234,33
9,Lezhë,49,40,41.78537300,19.64099400,7,6008,5871,2,17320,88
10,Shkodër,932,916,42.06776800,19.51425000,14,7107,6049,2,21154,126
11,Tiranë,19673,19606,41.33278100,19.81696400,61,54487,33846,6,393028,968
12,Vlorë,572,557,40.46778700,19.48373700,14,8852,8158,1,18321,122
